"Year","Week","Percent of Deaths Due to Pneumonia and Influenza (P&I)","Percent of Deaths Due to Pneumonia, Influenza or COVID-19 (PIC)","Expected","Threshold","All Deaths","Pneumonia Deaths","Influenza Deaths","COVID-19 Deaths","Pneumonia, Influenza or COVID-19 Deaths (PIC)"
2017,17,6.6572849235,6.6572849235,6.85235,7.18852,53295,3458,90,0,3548
2017,18,6.4019295047,6.4019295047,6.73783,7.07377,52656,3308,63,0,3371
2017,19,6.2825815139,6.2825815139,6.6194,6.95509,51985,3216,50,0,3266
2017,20,6.2004573171,6.2004573171,6.49871,6.83416,52480,3201,53,0,3254
2017,21,6.1114381008,6.1114381008,6.37745,6.71267,50970,3091,24,0,3115
2017,22,5.9349149368,5.9349149368,6.25734,6.59231,51256,3019,23,0,3042
2017,23,6.1147091429,6.1147091429,6.14004,6.47477,51417,3127,17,0,3144
2017,24,6.0792188361,6.0792188361,6.02721,6.36169,50796,3069,19,0,3088
2017,25,5.8543160198,5.8543160198,5.9204,6.25463,51193,2982,15,0,2997
2017,26,5.8558558559,5.8558558559,5.8211,6.15508,50616,2954,10,0,2964
2017,27,5.57714196,5.57714196,5.73068,6.06441,50958,2824,18,0,2842
2017,28,6.1055412139,6.1055412139,5.65037,5.98386,49971,3047,4,0,3051
2017,29,5.5162094763,5.5162094763,5.58127,5.9145,50125,2755,10,0,2765
2017,30,5.785944369,5.785944369,5.5243,5.85728,49361,2853,3,0,2856
2017,31,5.3888389737,5.3888389737,5.48021,5.81293,50085,2695,4,0,2699
2017,32,5.4305848628,5.4305848628,5.44955,5.78202,50234,2722,6,0,2728
2017,33,5.3800936535,5.3800936535,5.43269,5.7649,50185,2689,11,0,2700
2017,34,5.5800145408,5.5800145408,5.4298,5.76174,49516,2756,7,0,2763
2017,35,5.3570725949,5.3570725949,5.44082,5.7725,50830,2716,7,0,2723
2017,36,5.5652549189,5.5652549189,5.46552,5.79693,50977,2825,12,0,2837
2017,37,5.8577729629,5.8577729629,5.50346,5.8346,51692,3021,7,0,3028
2017,38,5.7604091433,5.7604091433,5.55401,5.88488,51229,2935,16,0,2951
2017,39,5.6621413685,5.6621413685,5.61635,5.94695,51341,2888,19,0,2907
2017,40,5.8303107068,5.8303107068,5.68949,6.01982,52107,3022,16,0,3038
2017,41,5.8534977509,5.8534977509,5.77231,6.10236,51576,3001,18,0,3019
2017,42,6.0971639762,6.0971639762,5.86352,6.19329,52221,3156,28,0,3184
2017,43,6.2844962126,6.2844962126,5.96172,6.29122,52542,3279,23,0,3302
2017,44,6.0577263495,6.0577263495,6.06541,6.39463,53667,3215,36,0,3251
2017,45,6.0574755823,6.0574755823,6.17303,6.50197,53240,3180,45,0,3225
2017,46,6.2584856882,6.2584856882,6.28293,6.6116,53767,3315,50,0,3365
2017,47,6.0051736881,6.0051736881,6.39347,6.72186,54120,3202,48,0,3250
2017,48,6.5305526133,6.5305526133,6.50298,6.83108,54758,3493,83,0,3576
2017,49,6.558143718,6.558143718,6.6098,6.93762,55595,3528,118,0,3646
2017,50,6.8398117483,6.8398117483,6.71234,7.03987,57370,3759,165,0,3924
2017,51,7.3035879338,7.3035879338,6.80904,7.1363,59505,3987,359,0,4346
2017,52,8.3303322966,8.3303322966,6.89846,7.22543,61090,4418,671,0,5089
2018,1,9.5578673602,9.5578673602,6.97925,7.30594,66134,5156,1165,0,6321
2018,2,10.547447959,10.547447959,7.05019,7.37659,67495,5583,1536,0,7119
2018,3,10.886816094,10.886816094,7.1102,7.43632,64647,5412,1626,0,7038
2018,4,10.568652437,10.568652437,7.15837,7.4842,62780,5187,1448,0,6635
2018,5,10.228950044,10.228950044,7.19396,7.51951,60974,4877,1360,0,6237
2018,6,9.7070855834,9.7070855834,7.21641,7.54167,61110,4689,1243,0,5932
2018,7,9.6656016327,9.6656016327,7.22535,7.55033,59779,4599,1179,0,5778
2018,8,9.2018064471,9.2018064471,7.22062,7.54531,57793,4426,892,0,5318
2018,9,8.4350525647,8.4350525647,7.20223,7.52665,56692,4044,738,0,4782
2018,10,8.0009808558,8.0009808558,7.17042,7.49456,57093,4061,507,0,4568
2018,11,7.6288037496,7.6288037496,7.12561,7.44946,56326,3853,444,0,4297
2018,12,7.4202919342,7.4202919342,7.0684,7.39197,55766,3793,345,0,4138
2018,13,7.3983029244,7.3983029244,6.99957,7.32286,54918,3779,284,0,4063
2018,14,7.2304409158,7.2304409158,6.92008,7.24309,55294,3698,300,0,3998
2018,15,6.8878105309,6.8878105309,6.83103,7.15377,55228,3590,214,0,3804
2018,16,6.6305192642,6.6305192642,6.73367,7.05613,54038,3430,153,0,3583
2018,17,6.5386118711,6.5386118711,6.62935,6.95153,53727,3394,119,0,3513
2018,18,6.1480061778,6.1480061778,6.51953,6.84144,53741,3198,106,0,3304
2018,19,5.9207369734,5.9207369734,6.40575,6.72739,52105,3032,53,0,3085
2018,20,5.9227942629,5.9227942629,6.28959,6.61096,50618,2955,43,0,2998
2018,21,5.8453926054,5.8453926054,6.17268,6.49378,50929,2951,26,0,2977
2018,22,5.7419923597,5.7419923597,6.05665,6.37748,51045,2905,26,0,2931
2018,23,5.6191227092,5.6191227092,5.94311,6.26368,52001,2908,14,0,2922
2018,24,5.7388055345,5.7388055345,5.83364,6.15394,51387,2935,14,0,2949
2018,25,5.6265182979,5.6265182979,5.72976,6.0498,51044,2865,7,0,2872
2018,26,5.6572608396,5.6572608396,5.63289,5.95268,50855,2868,9,0,2877
2018,27,5.3769058122,5.3769058122,5.54438,5.86391,51684,2769,10,0,2779
2018,28,5.4423629154,5.4423629154,5.46542,5.7847,51191,2781,5,0,2786
2018,29,5.3626825268,5.3626825268,5.3971,5.71612,50609,2706,8,0,2714
2018,30,5.3944384771,5.3944384771,5.34031,5.65908,50274,2700,12,0,2712
2018,31,5.2629500168,5.2629500168,5.2958,5.61434,50637,2661,4,0,2665
2018,32,5.2661526086,5.2661526086,5.26416,5.58245,50967,2674,10,0,2684
2018,33,5.2126200274,5.2126200274,5.24575,5.5638,50301,2617,5,0,2622
2018,34,5.3964604927,5.3964604927,5.24078,5.55859,50459,2713,10,0,2723
2018,35,5.2083539152,5.2083539152,5.24923,5.56681,50611,2630,6,0,2636
2018,36,5.4772460685,5.4772460685,5.27091,5.58826,50299,2749,6,0,2755
2018,37,5.4205900202,5.4205900202,5.30544,5.62256,51083,2761,8,0,2769
2018,38,5.4882422504,5.4882422504,5.35224,5.66914,51583,2820,11,0,2831
2018,39,5.5495594498,5.5495594498,5.41058,5.72724,50959,2814,14,0,2828
2018,40,5.689783601,5.689783601,5.47953,5.79597,52357,2969,10,0,2979
2018,41,5.5507338618,5.5507338618,5.55803,5.87426,51849,2866,12,0,2878
2018,42,5.6758338209,5.6758338209,5.6449,5.96091,52979,2989,18,0,3007
2018,43,5.7455871138,5.7455871138,5.73881,6.05461,53763,3065,24,0,3089
2018,44,5.6452515008,5.6452515008,5.83834,6.15393,53638,3003,25,0,3028
2018,45,5.6981759116,5.6981759116,5.94201,6.25739,53561,3022,30,0,3052
2018,46,5.7936304801,5.7936304801,6.04826,6.36343,54698,3143,26,0,3169
2018,47,5.8508213758,5.8508213758,6.1555,6.47047,54847,3178,31,0,3209
2018,48,6.0388666909,6.0388666909,6.26214,6.57691,55060,3287,38,0,3325
2018,49,6.1732806833,6.1732806833,6.36659,6.68117,55967,3399,56,0,3455
2018,50,6.3897706918,6.3897706918,6.46731,6.78168,56387,3552,51,0,3603
2018,51,6.3296065667,6.3296065667,6.56278,6.87696,56528,3490,88,0,3578
2018,52,6.741512869,6.741512869,6.6516,6.96559,56026,3636,141,0,3777
2019,1,7.0841695398,7.0841695398,6.73245,7.04624,58299,3919,211,0,4130
2019,2,7.3917960317,7.3917960317,6.80412,7.11773,58362,4055,259,0,4314
2019,3,7.4630711096,7.4630711096,6.86555,7.17896,58220,4099,246,0,4345
2019,4,7.2097119569,7.2097119569,6.91581,7.22904,57908,3899,276,0,4175
2019,5,7.2551245013,7.2551245013,6.95416,7.26721,58152,3892,327,0,4219
2019,6,7.2740631888,7.2740631888,6.98001,7.29287,58523,3891,366,0,4257
2019,7,7.55,7.55,6.99296,7.30564,58000,3896,483,0,4379
2019,8,7.6924403069,7.6924403069,6.99279,7.3053,58005,3988,474,0,4462
2019,9,7.3725246671,7.3725246671,6.9795,7.29182,57972,3758,516,0,4274
2019,10,7.337819834,7.337819834,6.95323,7.26538,58546,3753,543,0,4296
2019,11,7.7507467583,7.7507467583,6.91436,7.22633,57917,3978,511,0,4489
2019,12,7.4927751992,7.4927751992,6.86341,7.17521,57095,3798,480,0,4278
2019,13,7.3630348478,7.3630348478,6.8011,7.11273,56675,3714,459,0,4173
2019,14,7.0214495212,7.0214495212,6.7283,7.03976,56598,3635,339,0,3974
2019,15,6.7649390903,6.7649390903,6.64605,6.95733,55492,3451,303,0,3754
2019,16,6.6387603731,6.6387603731,6.5555,6.86661,54468,3414,202,0,3616
2019,17,6.3925749217,6.3925749217,6.45793,6.76887,53656,3274,156,0,3430
2019,18,6.1514809121,6.1514809121,6.35473,6.6655,53987,3224,97,0,3321
2019,19,6.167021953,6.167021953,6.24736,6.55797,53478,3230,68,0,3298
2019,20,5.9856657583,5.9856657583,6.13734,6.44778,53578,3157,50,0,3207
2019,21,5.9223391377,5.9223391377,6.02623,6.3365,53695,3150,30,0,3180
2019,22,5.9703757088,5.9703757088,5.9156,6.22571,52727,3119,29,0,3148
2019,23,5.7733200354,5.7733200354,5.80702,6.11697,53141,3047,21,0,3068
2019,24,5.6053641302,5.6053641302,5.70202,6.0118,52646,2935,16,0,2951
2019,25,5.6740165612,5.6740165612,5.60207,5.9117,52291,2954,13,0,2967
2019,26,5.5833285449,5.5833285449,5.5086,5.81806,52209,2900,15,0,2915
2019,27,5.4944215192,5.4944215192,5.4229,5.7322,52344,2863,13,0,2876
2019,28,5.3571084709,5.3571084709,5.34617,5.65531,51931,2771,11,0,2782
2019,29,5.2004879088,5.2004879088,5.27949,5.58846,51649,2681,5,0,2686
2019,30,5.3637102706,5.3637102706,5.22376,5.53258,51662,2763,8,0,2771
2019,31,5.3355378331,5.3355378331,5.17976,5.48841,51410,2737,6,0,2743
2019,32,5.1287997372,5.1287997372,5.14806,5.45655,51747,2647,7,0,2654
2019,33,5.1231797425,5.1231797425,5.12908,5.43741,51023,2606,8,0,2614
2019,34,5.1115205206,5.1115205206,5.12305,5.43122,51022,2602,6,0,2608
2019,35,5.1424885657,5.1424885657,5.13001,5.43802,51162,2618,13,0,2631
2019,36,5.0100316382,5.0100316382,5.14981,5.45766,51836,2585,12,0,2597
2019,37,4.9019038212,4.9019038212,5.18212,5.4898,51633,2515,16,0,2531
2019,38,5.2649883108,5.2649883108,5.22641,5.53394,51757,2711,14,0,2725
2019,39,5.3016661296,5.3016661296,5.28201,5.58937,52757,2781,16,0,2797
2019,40,5.1993759988,5.1993759988,5.34806,5.65526,52564,2716,17,0,2733
2019,41,5.274062912,5.274062912,5.42356,5.73061,53090,2784,16,0,2800
2019,42,5.5412418565,5.5412418565,5.50738,5.81426,54338,2993,18,0,3011
2019,43,5.6004736443,5.6004736443,5.59825,5.90498,54049,2997,30,0,3027
2019,44,5.4708155379,5.4708155379,5.69483,6.00139,54087,2928,31,0,2959
2019,45,5.5925600101,5.5925600101,5.79567,6.10207,55699,3084,31,0,3115
2019,46,5.6311061804,5.6311061804,5.89928,6.20552,55886,3108,39,0,3147
2019,47,5.4556130892,5.4556130892,6.00412,6.31019,56199,3016,50,0,3066
2019,48,5.526007392,5.526007392,6.10863,6.41454,55465,2999,66,0,3065
2019,49,5.982234787,5.982234787,6.21127,6.51702,57303,3328,100,0,3428
2019,50,6.2385098338,6.2385098338,6.31052,6.61612,57658,3486,111,0,3597
2019,51,6.1298411814,6.1298411814,6.40492,6.71035,57424,3391,129,0,3520
2019,52,6.3994662835,6.3994662835,6.49306,6.79834,58458,3538,203,0,3741
2020,1,7.5379898694,7.5379898694,6.57365,6.87877,60016,4093,431,0,4524
2020,2,7.6050336901,7.6050336901,6.6455,6.95045,60552,4134,471,0,4605
2020,3,7.6295382744,7.6295382744,6.70753,7.01232,59191,4052,464,0,4516
2020,4,7.4549954233,7.4549954233,6.75882,7.06345,58994,3902,496,0,4398
2020,5,7.2999420369,7.2999420369,6.79862,7.10309,58658,3803,479,0,4282
2020,6,7.2930210567,7.2947096469,6.82632,7.13063,59221,3799,520,1,4320
2020,7,7.4792007638,7.4792007638,6.8415,7.14565,58656,3828,559,0,4387
2020,8,7.2622272193,7.2673378648,6.84392,7.14791,58701,3697,566,4,4266
2020,9,7.5731177157,7.5815755197,6.83352,7.13735,59117,3823,654,10,4482
2020,10,7.7308409958,7.7594177075,6.81405,7.11787,59489,3967,632,36,4616
2020,11,7.8436067593,7.8897858658,6.78217,7.08599,58468,3963,623,56,4613
2020,12,8.6182360316,9.1502049944,6.73835,7.04218,59026,4530,557,571,5401
2020,13,10.510472247,13.181492395,6.68325,6.98708,62785,6156,443,3155,8276
2020,14,14.402253083,21.383482013,6.61767,6.9215,72079,9904,477,10018,15413
2020,15,15.786068579,26.712250568,6.54258,6.8464,78829,11972,472,16164,21057
2020,16,15.207764555,27.727195538,6.45906,6.76289,76553,11378,264,17071,21226
2020,17,14.255264265,26.117001779,6.36835,6.67218,73657,10356,144,15427,19237
2020,18,13.005152849,24.036012043,6.27177,6.5756,69088,8920,65,13139,16606
2020,19,11.802407613,21.491399237,6.17073,6.47455,66622,7815,48,11164,14318
2020,20,10.539493943,18.926610784,6.0667,6.37053,64301,6756,21,9171,12170
2020,21,9.6020451363,16.458787899,5.9612,6.26503,61414,5873,24,7175,10108
2020,22,8.8533960995,14.979825151,5.85578,6.1596,59480,5254,12,6117,8910
2020,23,8.3215460386,13.202338145,5.75196,6.05579,58679,4872,11,4998,7747
2020,24,7.8405591502,11.899242241,5.65127,5.9551,57802,4521,11,4204,6878
2020,25,7.5448832257,11.365800454,5.55518,5.859,57761,4350,8,3808,6565
2020,26,7.3050972582,11.152505708,5.46508,5.7689,58247,4244,11,3789,6496
2020,27,7.6197192558,11.807374572,5.38229,5.68612,59556,4534,4,4480,7032
2020,28,8.952897433,13.854746789,5.30803,5.61186,61589,5504,10,5718,8533
2020,29,9.8176315999,15.662976826,5.24339,5.54721,62785,6151,13,7099,9834
2020,30,10.530188,17.100010958,5.1893,5.49312,63883,6717,10,8135,10924
2020,31,10.657085153,17.187230911,5.14656,5.45039,63873,6794,13,8217,10978
2020,32,10.693275982,16.732557404,5.11581,5.41964,63236,6753,9,7768,10581
2020,33,10.243361078,15.798652398,5.0975,5.40133,63075,6456,5,7156,9965
2020,34,9.5648378649,14.566292716,5.09191,5.39574,61862,5905,12,6274,9011
2020,35,9.0995213402,13.691663343,5.09913,5.40296,60168,5464,11,5608,8238
2020,36,8.6345518346,12.705685961,5.11907,5.4229,58706,5060,9,4818,7459
2020,37,8.3176626271,12.108232344,5.15145,5.45527,57432,4770,7,4377,6954
2020,38,7.9188848417,11.545601009,5.19581,5.49963,57104,4517,5,3999,6593
2020,39,8.0882352941,11.597279757,5.25152,5.55535,57936,4683,3,4025,6719
2020,40,7.9663463231,11.588692928,5.31779,5.62162,56814,4518,8,3936,6584
2020,41,8.2856799409,12.164923669,5.39367,5.69749,58233,4814,11,4451,7084
2020,42,8.559369923,12.961785689,5.47807,5.78189,56628,4832,15,4763,7340
2020,43,9.0004860436,14.117830857,5.56977,5.8736,57608,5169,16,5459,8133
2020,44,9.4584485848,15.183619505,5.66748,5.9713,57483,5419,18,6156,8728
2020,45,10.228829816,16.80597424,5.76977,6.07359,58384,5951,21,7228,9812
2020,46,10.965319921,18.415249759,5.87518,6.179,54873,6002,15,7707,10105
2020,47,11.096259819,18.562551296,5.9822,6.28602,42645,4717,15,6024,7916
2020,48,8.3710684127,12.813609105,6.08928,6.3931,16342,1365,3,1397,2094
