,"  Agriculture, forestry, fishing, and hunting",  Mining,  Utilities,  Construction,  Manufacturing,  Wholesale trade,  Retail trade,  Transportation and warehousing,  Information,"  Finance, insurance, real estate, rental, and leasing",  Professional and business services,"  Educational services, health care, and social assistance","  Arts, entertainment, recreation, accommodation, and food services","  Other services, except government",  Federal,  State and local,Date
"  Agriculture, forestry, fishing, and hunting",1.0,0.6361054170670446,-0.08285728654676264,0.29720176034590645,0.4759803813885786,0.7861191966286977,0.9300050821471072,0.8015184534131085,0.9359127686154903,0.9453277051306641,0.9299926466224205,0.8828127472649147,0.5517430019321896,0.3029506765328012,-0.011405461227359085,0.8533021282504256,0.8991443205838645
  Mining,0.6361054170670446,1.0,0.3028118518297411,-0.19835148727911742,0.3541556393553553,0.8487254230457464,0.6127277156714882,0.8003295315185559,0.7234662949986033,0.7296057154708249,0.7693438538944648,0.8066713588179746,0.6607378723443599,0.3027572681530104,0.04689688614618269,0.5356237669535967,0.7941232390700286
  Utilities,-0.08285728654676264,0.3028118518297411,1.0,-0.38463830094875623,-0.00285606968088654,0.2931699338594377,-0.09952206709381639,0.12861882306893516,-0.016192097334763064,0.0019322863731787477,0.026386459106039324,0.11009952409076433,0.1545813429054466,0.00456902490520264,0.04256843773979843,-0.12037684000688152,0.09628484009008052
  Construction,0.29720176034590645,-0.19835148727911742,-0.38463830094875623,1.0,0.658625519666661,0.013179652991245312,0.4259722240175627,0.2383051923460995,0.1446547104081454,0.24149187633085603,0.16995958354437196,-0.07667922007255246,0.13313714650588798,0.5265815299548545,-0.6615052276462777,0.1696382333882353,-0.06134033432851126
  Manufacturing,0.4759803813885786,0.3541556393553553,-0.00285606968088654,0.658625519666661,1.0,0.5902795022095455,0.6843801015507087,0.6966740719223711,0.46216606202221927,0.5620190215843486,0.5272426672093832,0.32896647635277504,0.5083536787679007,0.6418301530896511,-0.5563667469208828,0.28022231801174097,0.32115703291775377
  Wholesale trade,0.7861191966286977,0.8487254230457464,0.2931699338594377,0.013179652991245312,0.5902795022095455,1.0,0.8191966437810273,0.9063793651786413,0.8499563964219116,0.8775914944135605,0.8881780072963579,0.8843232790313246,0.6932692633040162,0.35926756200076526,-0.036174076691310335,0.6175161352163187,0.8750482561426504
  Retail trade,0.9300050821471072,0.6127277156714882,-0.09952206709381639,0.4259722240175627,0.6843801015507087,0.8191966437810273,1.0,0.8488696544993344,0.9391537138986097,0.9623491255511374,0.9433915090460121,0.8271114055433905,0.5454645457151769,0.38489419868511265,-0.06116331239994302,0.7894135903753212,0.8505861045257886
  Transportation and warehousing,0.8015184534131085,0.8003295315185559,0.12861882306893516,0.2383051923460995,0.6966740719223711,0.9063793651786413,0.8488696544993344,1.0,0.820480238374087,0.8596256120745683,0.8875871011679668,0.8541609745692812,0.8683108164902048,0.6586953703783317,-0.20018265489046616,0.7428489307057917,0.789263247836788
  Information,0.9359127686154903,0.7234662949986033,-0.016192097334763064,0.1446547104081454,0.46216606202221927,0.8499563964219116,0.9391537138986097,0.820480238374087,1.0,0.9833188594327754,0.9895912687910583,0.9418348978184383,0.5099275021282955,0.2105474554824431,0.1934085649842926,0.8561208233787914,0.9694535295249339
"  Finance, insurance, real estate, rental, and leasing",0.9453277051306641,0.7296057154708249,0.0019322863731787477,0.24149187633085603,0.5620190215843486,0.8775914944135605,0.9623491255511374,0.8596256120745683,0.9833188594327754,1.0,0.985347366086527,0.9172269744469518,0.5557683645562167,0.28987531893696855,0.04455091773524522,0.8263962403975431,0.9451541811666667
  Professional and business services,0.9299926466224205,0.7693438538944648,0.026386459106039324,0.16995958354437196,0.5272426672093832,0.8881780072963579,0.9433915090460121,0.8875871011679668,0.9895912687910583,0.985347366086527,1.0,0.9514133816225444,0.6063003192274574,0.32353136699768953,0.112654225179026,0.8610429602636317,0.9583874385525706
"  Educational services, health care, and social assistance",0.8828127472649147,0.8066713588179746,0.11009952409076433,-0.07667922007255246,0.32896647635277504,0.8843232790313246,0.8271114055433905,0.8541609745692812,0.9418348978184383,0.9172269744469518,0.9514133816225444,1.0,0.6658257008305883,0.2681729965596173,0.23075892162574213,0.8691128651377029,0.9724210455811114
"  Arts, entertainment, recreation, accommodation, and food services",0.5517430019321896,0.6607378723443599,0.1545813429054466,0.13313714650588798,0.5083536787679007,0.6932692633040162,0.5454645457151769,0.8683108164902048,0.5099275021282955,0.5557683645562167,0.6063003192274574,0.6658257008305883,1.0,0.8206180530340962,-0.34254861523610214,0.6037820851954089,0.5163458534942478
"  Other services, except government",0.3029506765328012,0.3027572681530104,0.00456902490520264,0.5265815299548545,0.6418301530896511,0.35926756200076526,0.38489419868511265,0.6586953703783317,0.2105474554824431,0.28987531893696855,0.32353136699768953,0.2681729965596173,0.8206180530340962,1.0,-0.6355366086331437,0.37681656344611486,0.11928766760976484
  Federal,-0.011405461227359085,0.04689688614618269,0.04256843773979843,-0.6615052276462777,-0.5563667469208828,-0.036174076691310335,-0.06116331239994302,-0.20018265489046616,0.1934085649842926,0.04455091773524522,0.112654225179026,0.23075892162574213,-0.34254861523610214,-0.6355366086331437,1.0,0.19629289713616935,0.2702730759164765
  State and local,0.8533021282504256,0.5356237669535967,-0.12037684000688152,0.1696382333882353,0.28022231801174097,0.6175161352163187,0.7894135903753212,0.7428489307057917,0.8561208233787914,0.8263962403975431,0.8610429602636317,0.8691128651377029,0.6037820851954089,0.37681656344611486,0.19629289713616935,1.0,0.8197323219186461
Date,0.8991443205838645,0.7941232390700286,0.09628484009008052,-0.06134033432851126,0.32115703291775377,0.8750482561426504,0.8505861045257886,0.789263247836788,0.9694535295249339,0.9451541811666667,0.9583874385525706,0.9724210455811114,0.5163458534942478,0.11928766760976484,0.2702730759164765,0.8197323219186461,1.0
